"Категория";"Название";"Все товары от бренда";"Фото";"Преимущество";"ОС";"Частота и количество ядер процессора";"RAM";"Память";"Остальные характеристики";"Все характеристики";"Описание";"Код товара";"Цена";"Баллы за покупку";"Ссылка на товар"
"Аудио";"Беспроводные наушники с микрофоном GravaStar Sirius Pro War Damaged Gray";"https://xn----8sb1bezcm.xn--p1ai///brand/gravastar";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/de/5f/2ce926ad-461b-4bfb-8842-16bf6521bba9.jpg";" • Работают 4 ч /с футляром 16 ч • Активное шумоподавление • Диапазон частот 20-20000 Гц";"-";"-";"-";"-";" Bluetooth 5.2 ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-gravastar-sirius-pro-war-damaged-gray/characteristics";" Gravastar Sirius Pro - истинно беспроводные наушники с захватывающим насыщенным звучанием и мощным басом. ENC с помощью двух микрофонов эффективно отсекает внешние шумы во время разговоров и обеспечивает высокое качество передачи голоса. Система подавления окружающего шума отсекает все лишние звуки и усиливает человеческий голос, обеспечивая кристально-чистую передачу звука при звонках. У Sirius достаточно энергии, чтобы обеспечить вас музыкой на протяжении 16 часов. Это 4 часа непрерывной работы и 3 подзарядки от кейса. Кейс со встроенной открывашкой для бутылок выполнен из цинкового сплава, устойчивого к царапинам. Кейс, вдохновлённый стилем киберпанк, имеет 6 RGB светодиодов, открывающих возможность персонализации. Благодаря защите IPX5, Sirius не боятся пота и дождя. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"37253";"11 890 руб.";"594 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-gravastar-sirius-pro-war-damaged-gray"
"Аудио";"Беспроводные наушники с микрофоном GravaStar Sirius Pro Space Gray";"https://xn----8sb1bezcm.xn--p1ai///brand/gravastar";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/9b/a2/9567629d-931b-4c1f-99bf-4f23601931cf.jpg";" • Работают 4 ч /с футляром 16 ч • Активное шумоподавление • Диапазон частот 20-20000 Гц";"-";"-";"-";"-";" Bluetooth 5.2 ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-gravastar-sirius-pro-space-gray/characteristics";" Gravastar Sirius Pro - истинно беспроводные наушники с захватывающим насыщенным звучанием и мощным басом. ENC с помощью двух микрофонов эффективно отсекает внешние шумы во время разговоров и обеспечивает высокое качество передачи голоса. Система подавления окружающего шума отсекает все лишние звуки и усиливает человеческий голос, обеспечивая кристально-чистую передачу звука при звонках. У Sirius достаточно энергии, чтобы обеспечить вас музыкой на протяжении 16 часов. Это 4 часа непрерывной работы и 3 подзарядки от кейса. Кейс со встроенной открывашкой для бутылок выполнен из цинкового сплава, устойчивого к царапинам. Кейс, вдохновлённый стилем киберпанк, имеет 6 RGB светодиодов, открывающих возможность персонализации. Благодаря защите IPX5, Sirius не боятся пота и дождя. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"37252";"10 290 руб.";"514 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-gravastar-sirius-pro-space-gray"
"Аудио";"Беспроводные наушники с микрофоном GravaStar Sirius Space Gray";"https://xn----8sb1bezcm.xn--p1ai///brand/gravastar";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/b9/a0/fb8dbd2d-0f97-4a38-9f4a-c331716860e6.jpg";" • Работают 4 ч /с футляром 16 ч • Активное шумоподавление • Диапазон частот 20-20000 Гц";"-";"-";"-";"-";" Bluetooth 5.2 ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-gravastar-sirius-space-gray/characteristics";" Gravastar Sirius - истинно беспроводные наушники с захватывающим насыщенным звучанием и мощным басом. ENC с помощью двух микрофонов эффективно отсекает внешние шумы во время разговоров и обеспечивает высокое качество передачи голоса. Мощные 7.2 мм динамические драйверы создают звучание баса, ""пробирающее до костей"". Система подавления окружающего шума отсекает все лишние звуки и усиливает человеческий голос, обеспечивая кристально-чистую передачу звука при звонках. У Sirius достаточно энергии, чтобы обеспечить вас музыкой на протяжении 16 часов. Это 4 часа непрерывной работы и 3 подзарядки от кейса. Кейс выполнен из цинкового сплава, устойчивого к царапинам. Благодаря защите IPX5, Sirius не боятся пота и дождя. Силиконовые насадки особой формы обеспечивают надёжную фиксацию в ухе. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"37254";"7 190 руб.";"359 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-gravastar-sirius-space-gray"
"Аудио";"Беспроводные наушники с микрофоном Xiaomi Mi True Wireless Earphones 2S BHR4208GL White";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/32/b0/21e2c8bb-e64c-4023-8322-afc36fed7c92.jpg";" • Работают 5ч /с футляром 24ч • Активное шумоподавление • Беспроводная зарядка";"-";"-";"-";"-";" Bluetooth 5.0 • до 5 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-xiaomi-mi-true-wireless-earphones-2s-bhr4208gl-white/characteristics";" Xiaomi Mi True Wireless Earphones 2S полностью беспроводная Bluetooth-гарнитура, выполненная в форм-факторе вкладышей. Она оснащена динамиками диаметром 14.2 мм, обеспечивающими чистый звук с богатой детализацией, полные и глубокие басы. В наушниках используется технология подавления окружающих шумов с помощью двух микрофонов, эффективно отсекающая внешние шумы во время разговоров и обеспечивающая высокое качество передачи голоса даже в шумной обстановке. Лёгкими постукиваниями по гарнитуре можно управлять музыкой, звонками, голосовым помощником. Время автономной работы составляет 5 часов, а зарядный кейс продлит ее до 24 часов. Кроме того, кейс совместим с беспроводной зарядкой Qi, что гарантирует всегда заряжженные наушники. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"37201";"6 499 руб.";"324 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-xiaomi-mi-true-wireless-earphones-2s-bhr4208gl-white"
"Аудио";"Беспроводные наушники с микрофоном Xiaomi Redmi Buds 3 Pro BHR5310GL Black";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/3b/87/23a4dce1-16eb-4e95-8022-436749f71d5f.jpg";" • Работают 6ч /с футляром 28ч • Активное шумоподавление • Защита от пота/влаги IPX4";"-";"-";"-";"-";" Bluetooth 5.2 • до 6 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-xiaomi-redmi-buds-3-pro-bhr5310gl-black/characteristics";" Xiaomi Redmi Buds 3 Pro беспроводные TWS наушники с широкими возможностями. Они оснащены динамиком 9 мм, обеспечивающим высококачественный, насыщенный и чистый звук. Три микрофона с высокой чувствительностью эффективно снижают внешние шумы во время разговоров и обеспечивающая высокое качество передачи голоса. Режим двойного отслеживания внешнего шума позволяет слышать внешние звуки без необходимости извлекать наушники. Наушники поддерживают одновременное подключение к двум устройствам, работающим на платформах Android, iOS и Windows, что позволяет легко переключаться между развлечениями и работой. Время воспроизведения музыки составляет 6 часов, зарядный кейс продлит ее до 28 часов. Также кейс поддерживает беспроводную зарядку Qi, что делает процесс зарядки очень удобным. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"37200";"6 499 руб.";"324 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-xiaomi-redmi-buds-3-pro-bhr5310gl-black"
"Аудио";"Беспроводные наушники с микрофоном Marshall Minor III Black";"https://xn----8sb1bezcm.xn--p1ai///brand/marshall";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/68/06/1021e87c-5b2e-4f0f-a90b-87c384feff57.jpg";" • Работают 5 ч /с футляром 25 ч • Радиус действия до 10 м • Диапазон частот 20-20000 Гц";"-";"-";"-";"-";" Bluetooth 5.2 • до 5 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-marshall-minor-iii-black/characteristics";" Marshall Minor III - беспроводные наушники, которые подарят потрясающий и фирменный звук Marshall без лишнего шума. 25 часов, именно столько наушники способны обеспечить прослушивание любимой музыки с зарядным кейсом. Для надежного соединения с различными устройствами в наушниках используется Bluetooth 5.2. В конструкции Marshall III используются 12-миллиметровые динамические драйверы, обеспечивающие громкий и четкий звук. Для удобного управления музыкой и звонками в наушниках предусмотрено сенсорное управление. При снятии наушника воспроизведение музыки или видео автоматически ставится на паузу, поэтому вы не пропустите ничего интересного. 15 минут зарядки наушников обеспечивают 1,5 часа их использования. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"23729";"12 999 руб.";"649 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-marshall-minor-iii-black"
"Аудио";"Беспроводные наушники с микрофоном Xiaomi Redmi Buds 3 BHR5174GL White";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"-";" • Работают 5ч /с футляром 20ч • Диапазон частот 20-20000 Гц • Активное шумоподавление";"-";"-";"-";"-";" Bluetooth 5.2 • до 5 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-xiaomi-redmi-buds-3-bhr5174gl-white/characteristics";" Xiaomi Redmi Bads3 выполнены в форм-факторе вкладышей, надежно удерживающихся в ушной раковине. Они оснащены динамичесим излучателем с диафрагмой 12 мм, благодаря чему достигается превосходное качество звука, насыщенные низкие и четкие высокие частоты . Легкая и эргономичная конструкция наушников гарантирует комфорт даже при длительном использовании. Два микрофона с высокой чувствительностью в сочетании с технологией шумоподавления эффективно снижают внешние шумы во время разговоров и обеспечивающая высокое качество передачи голоса. Время работы наушников составляет 5 часов и до 20 часов с использованием зарядного кейса. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"23807";"3 999 руб.";"199 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-xiaomi-redmi-buds-3-bhr5174gl-white"
"Аудио";"Беспроводные наушники с микрофоном Honor Choice Earbuds X White";"https://xn----8sb1bezcm.xn--p1ai///brand/honor";"-";" • Работают 6ч /с футляром 28ч • Диапазон частот 20-20000 Гц • Защита от влаги IPX4";"-";"-";"-";"-";" Bluetooth 5.2 • до 10 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-honor-choice-earbuds-x-white/characteristics";" Honor Choice Earbuds X - TWS наушники для повседневного использования с сенсорным управлением. За чистый звук с ощутимыми басами отвечают 12 мм динамики. Благодаря эргономичной конструкции в форме вкладышей, наушники удобно сидят в ушах, что позволяет с комфортом использовать наушники в течении длительного времени. Вам не придется волноваться во время дождя или при активных тренировках, ведь наушники защищены от влаги по стандарту IPX4. Для вызова голосовых помощников или общения по смартфону в наушниках имеется встроенный микрофон. Для соединения с устройствами используется Bluetooth 5.2 с радиусом действия до 10 метров. Автономности наушников хватит на 6 ч. прослушивания музыки, а зарядный кейс продлит ее до 28 ч. Индикатор на кейсе сообщит о низком заряде красным цветом. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"23660";"3 499 руб.";"174 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-honor-choice-earbuds-x-white"
"Аудио";"Беспроводные наушники с микрофоном Apple AirPods Pro MLWK3RU/A в беспроводном зарядном футляре MagSafe";"https://xn----8sb1bezcm.xn--p1ai///brand/apple";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/86/f1/e96b642e-ebfa-4f49-8273-dd0d0b3bc5cd.jpg";" • Работают 5 ч /с футляром 24 ч • Активное шумоподавление • Беспроводная зарядка MagSafe";"-";"-";"-";"-";" Bluetooth 5.0 • до 3.5 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-apple-airpods-pro-mlwk3ru-a-v-besprovodnom-zarjadnom-futljare-magsafe/characteristics";" AirPods Pro - беспроводные наушники от Apple с кейсом, поддерживающим беспроводную зарядку MagSafe. Сами наушники отличаются высоким качеством звучания, длительным временем работы до 24 часов и великолепной работой в экосистеме Apple как с Mac устройствами, так и с iPhone, iPad и iPod. В наушниках используется активное шумоподавление, с которым внешние шумы заметно снижаются. Для ситуации, когда необходимо слышать окружение максимально громко, на помощь придет режим ""Прозрачность"", усиливающий внешние звуки. Также наушники поддерживают пространственное аудио начиная с iOS 14 для фильмов и ТВ-контента. При прослушивании музыки адаптивный эквалайзер подстраивает звучание персонально под вас. Наушники защищены от воды и пота по стандарту IPX4. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"20102";"25 999 руб.";"1299 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-apple-airpods-pro-mlwk3ru-a-v-besprovodnom-zarjadnom-futljare-magsafe"
"Аудио";"Беспроводные наушники с микрофоном Apple AirPods 3 2021 MME73RU/A в беспроводном зарядном футляре MagSafe";"https://xn----8sb1bezcm.xn--p1ai///brand/apple";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/01/3f/b9fa2753-7c1d-4277-ae1b-439ae8ed1230.jpg";" • Работают 6 ч /с футляром 30 ч • Беспроводная зарядка MagSafe • Защита от пота/влаги IPX4";"-";"-";"-";"-";" Bluetooth 5.0 • до 4 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/besprovodnye-naushniki-s-mikrofonom-apple-airpods-3-2021-mme73ru-a-v-besprovodnom-zarjadnom-futljare-magsafe/characteristics";" AirPods 3-го поколения - новые беспроводные наушники от Apple, получившие новый динамик и увеличенное время работы. Теперь пространственное аудио есть не только в Pro версиях наушников от Apple, но и в данной модели. С ним просмотр кино и ТВ-контента станет иммерсивным. Адаптивный эквалайзер подстраивает звук индивидуально под каждого человека, благодаря чему достигается максимально возможное качество звучания при таких скромных габаритах. AirPods 3 получили обновленный дизайн, вдохновленный Pro версией, но без силиконовых амбушюр. К приятным мелочам можно отнести наличие защиты от пота и воды по стандарту IPX4, а также время работы от одного заряда до 6 часов, с кейсом до 30 часов. Управляется данная модель наушников с помощью датчика нажатия. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"20097";"18 999 руб.";"949 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/besprovodnye-naushniki-s-mikrofonom-apple-airpods-3-2021-mme73ru-a-v-besprovodnom-zarjadnom-futljare-magsafe"
