"Категория";"Название";"Все товары от бренда";"Фото";"Преимущество";"ОС";"Частота и количество ядер процессора";"RAM";"Память";"Остальные характеристики";"Все характеристики";"Описание";"Код товара";"Цена";"Баллы за покупку";"Ссылка на товар"
"Гаджеты";"Смарт-часы Xiaomi Watch S1 Black";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/99/88/5e0fe805-c957-4bc5-af2d-57327f352a54.jpg";" • Встроенный GPS-навигатор • Влагозащита • Поддержка Bluetoth и WiFi";"";"-";"-";"-";" Сенсорный AMOLED/1.43""/466x466 • Wi-Fi • NFC • Bluetooth 5.2 • GPS+ГЛОНАСС • 470 мАч • 46.5x47.3x11 мм • 52 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/xiaomi-watch-s1-black/characteristics";" Смарт-часы Xiaomi Watch S1 изготовлены из высокотехнологичных материалов и подходят для занятия активными видами спорта. Большой и четкий 1,43-дюймовый AMOLED-дисплей обеспечивает плавный и комфортный просмотр уведомлений. Поддерживают навигацию GPS и ГЛОНАСС. Благодаря аккумулятору емкостью в 470 мАч, полного заряда хватит до 288 часов автономной работы. Сапфировое стекло с твёрдостью 9 по шкале Мооса надежно защитит циферблат часов от повреждений. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38407";"20 999 руб.";"1049 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/xiaomi-watch-s1-black"
"Гаджеты";"Смарт-часы Xiaomi Watch S1 Active White";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/29/80/34f2d8df-f15c-4e3d-98d4-89706fd93641.jpg";" • Встроенный GPS-навигатор • Влагозащита • Мониторинг физической активности";"";"-";"-";"-";" Сенсорный AMOLED/1.43""/446x446 • Bluetooth 5.0 • GPS+ГЛОНАСС • 470 мАч • 47.3x46.5x11 мм • 36.3 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/xiaomi-watch-s1-active-white/characteristics";" Смарт-часы Xiaomi Watch S1 Active изготовлены из высокотехнологичных материалов для занятия активными видами спорта. Большой и четкий 1,43-дюймовый AMOLED-дисплей обеспечивает плавный и комфортный просмотр уведомлений. Встроенный двухдиапазонный чип GNSS поддерживает пять основных систем спутникового позиционирования. Благодаря аккумулятору емкостью в 470 мАч и алгоритмам искусственного интеллекта с низким энергопотреблением, полного заряда хватит до 12 дней автономной работы при активном использовании. А удобный магнитный зарядный кабель обеспечивает полную зарядку часов всего за 2,5 часа. Принимать и отклонять звонки можно одним нажатием. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38406";"15 999 руб.";"799 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/xiaomi-watch-s1-active-white"
"Гаджеты";"Смарт-часы Xiaomi Watch S1 Active Blue";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/9c/0e/426ea877-bd0e-4abb-be47-409f3316b098.jpg";" • Встроенный GPS-навигатор • Влагозащита • Мониторинг физической активности";"";"-";"-";"-";" Сенсорный AMOLED/1.43""/446x446 • Bluetooth 5.0 • GPS+ГЛОНАСС • 470 мАч • 47.3x46.5x11 мм • 36.3 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/xiaomi-watch-s1-active-blue/characteristics";" Смарт-часы Xiaomi Watch S1 Active изготовлены из высокотехнологичных материалов для занятия активными видами спорта. Большой и четкий 1,43-дюймовый AMOLED-дисплей обеспечивает плавный и комфортный просмотр уведомлений. Встроенный двухдиапазонный чип GNSS поддерживает пять основных систем спутникового позиционирования. Благодаря аккумулятору емкостью в 470 мАч и алгоритмам искусственного интеллекта с низким энергопотреблением, полного заряда хватит до 12 дней автономной работы при активном использовании. А удобный магнитный зарядный кабель обеспечивает полную зарядку часов всего за 2,5 часа. Принимать и отклонять звонки можно одним нажатием. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38405";"15 999 руб.";"799 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/xiaomi-watch-s1-active-blue"
"Гаджеты";"Смарт-часы Xiaomi Watch S1 Active Black";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/dd/7f/cdca9e28-e173-4220-9444-7ed12aa45721.jpg";" • Встроенный GPS-навигатор • Влагозащита • Мониторинг физической активности";"";"-";"-";"-";" Сенсорный AMOLED/1.43""/446x446 • Bluetooth 5.0 • GPS+ГЛОНАСС • 470 мАч • 47.3x46.5x11 мм • 36.3 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/xiaomi-watch-s1-active-black/characteristics";" Смарт-часы Xiaomi Watch S1 Active изготовлены из высокотехнологичных материалов для занятия активными видами спорта. Большой и четкий 1,43-дюймовый AMOLED-дисплей обеспечивает плавный и комфортный просмотр уведомлений. Встроенный двухдиапазонный чип GNSS поддерживает пять основных систем спутникового позиционирования. Благодаря аккумулятору емкостью в 470 мАч и алгоритмам искусственного интеллекта с низким энергопотреблением, полного заряда хватит до 12 дней автономной работы при активном использовании. А удобный магнитный зарядный кабель обеспечивает полную зарядку часов всего за 2,5 часа. Принимать и отклонять звонки можно одним нажатием. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38404";"15 999 руб.";"799 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/xiaomi-watch-s1-active-black"
"Гаджеты";"Смарт-часы Philips W200 Black";"https://xn----8sb1bezcm.xn--p1ai///brand/philips";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/9d/4d/52f974fa-f2b0-4d93-a3bf-0549436f29b0.jpg";" • Функции телефона: звонки/SMS • Определение местоположения • Кнопка SOS";"";"-";"-";"-";" Сенсорный IPS/1.4""/240x240 • Пыле/влагозащита IP65 • Wi-Fi • GPS • 650 мАч • 50x43x14 мм • 66 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/philips-w200-black/characteristics";" Детские часы Philips W200 позволят вам отслеживать местоположение ребенка, а также приниматься от него звонки. Часы обладают пластиковым корпусом со степенью влагозащиты IP65 и удобным регулируемым ремешком на руку. Сенсорный цветной дисплей 14"" с разрешением 240х240 делает управление часами простым и понятным. Поддерживаются только мобильные сети 2G. Кнопка SOS позволит ребенку уведомить вас в случае возникновения экстремальной ситуации. Благодаря нейтральному дизайну корпуса, часы отлично подойдут как мальчику, так и девочке. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38741";"3 499 руб.";"174 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/philips-w200-black"
"Гаджеты";"Смарт-часы Philips W200 Pink";"https://xn----8sb1bezcm.xn--p1ai///brand/philips";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/45/eb/3876a5ac-0cd0-4f27-bac6-4e967cd7827c.jpg";" • Функции телефона: звонки/SMS • Определение местоположения • Кнопка SOS";"";"-";"-";"-";" Сенсорный IPS/1.4""/240x240 • Пыле/влагозащита IP65 • Wi-Fi • GPS • 650 мАч • 50x43x14 мм • 66 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/philips-w200-pink/characteristics";" Детские часы Philips W200 позволят вам отслеживать местоположение ребенка, а также приниматься от него звонки. Часы обладают пластиковым корпусом со степенью влагозащиты IP65 и удобным регулируемым ремешком на руку. Сенсорный цветной дисплей 14"" с разрешением 240х240 делает управление часами простым и понятным. Поддерживаются только мобильные сети 2G. Кнопка SOS позволит ребенку уведомить вас в случае возникновения экстремальной ситуации. Благодаря нейтральному дизайну корпуса, часы отлично подойдут как мальчику, так и девочке. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38742";"3 499 руб.";"174 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/philips-w200-pink"
"Гаджеты";"Смарт-часы Huawei Watch KID 4 Pro Blue";"https://xn----8sb1bezcm.xn--p1ai///brand/huawei";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/83/d3/e1a80e6f-39ef-4427-8034-1ea73e98181d.jpg";" • Функции телефона: звонки/SMS • Определение местоположения • Встроенная камера, кнопка SOS";"";"-";"-";"-";" Сенсорный AMOLED/1.41""/320x360 • 5 Мп для селфи • Пыле/влагозащита WR50 • 4G LTE • 3G • Wi-Fi • Bluetooth 4.0 • GPS+ГЛОНАСС • 800 мАч • 52x41x14.55 мм • 58 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/huawei-watch-kid-4-pro-blue/characteristics";" Huawei Watch KID 4 Pro - многофункциональное устройство, предназначенное помочь родителям и ребенку всегда держать связь между собой. Часы поддерживают сим-карту для голосовой и текстовой связи. Наличие встроенного микрофона поможет слышать окружающую ребенка обстановку. Камера 5 МП позволит общаться с ребенком по видеосвязи. Система геопозиционирования6 на базе ИИ с высокой точностью определяет местоположение ребенка. Поддерживается определение местоположения с помощью GPS, Beidou, ГЛОНАСС, A-GPS, сетей Wi-Fi, базовых станций. Благодаря функции SOS ребенок может в любое время связаться с вами при необходимости, нажав на кнопку. Вы также получите фотографию текущего местоположения ребенка. Выдерживают погружение на глубину до 50 метров, их можно не снимать в душе или бассейне. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38552";"12 990 руб.";"649 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/huawei-watch-kid-4-pro-blue"
"Гаджеты";"Смарт-часы Huawei Watch KID 4 Pro Pink";"https://xn----8sb1bezcm.xn--p1ai///brand/huawei";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/ca/41/df872612-f83e-4f0e-9a80-1a523f806789.jpg";" • Функции телефона: звонки/SMS • Определение местоположения • Встроенная камера, кнопка SOS";"";"-";"-";"-";" Сенсорный AMOLED/1.41""/320x360 • 5 Мп для селфи • Пыле/влагозащита WR50 • 4G LTE • 3G • Wi-Fi • Bluetooth 4.0 • GPS+ГЛОНАСС • 800 мАч • 52x41x14.55 мм • 58 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/huawei-watch-kid-4-pro-pink/characteristics";" Huawei Watch KID 4 Pro - многофункциональное устройство, предназначенное помочь родителям и ребенку всегда держать связь между собой. Часы поддерживают сим-карту для голосовой и текстовой связи. Наличие встроенного микрофона поможет слышать окружающую ребенка обстановку. Камера 5 МП позволит общаться с ребенком по видеосвязи. Система геопозиционирования6 на базе ИИ с высокой точностью определяет местоположение ребенка. Поддерживается определение местоположения с помощью GPS, Beidou, ГЛОНАСС, A-GPS, сетей Wi-Fi, базовых станций. Благодаря функции SOS ребенок может в любое время связаться с вами при необходимости, нажав на кнопку. Вы также получите фотографию текущего местоположения ребенка. Выдерживают погружение на глубину до 50 метров, их можно не снимать в душе или бассейне. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38553";"12 990 руб.";"649 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/huawei-watch-kid-4-pro-pink"
"Гаджеты";"Смарт-часы Xiaomi Redmi Watch 2 Lite Blue";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/f1/c2/533d6abc-c1b9-4065-84f8-9855348ca4d9.jpg";" • Встроенный GPS/ГЛОНАСС • Погружение на глубину до 50 м • До 10 дней автономной работы";"";"-";"-";"-";" Сенсорный TFT/1.55""/320x360 • Пыле/влагозащита 5ATM • Bluetooth 5.0 • GPS+ГЛОНАСС • 262 мАч/до 120 ч • 35.3x41.2x10.7 мм • 35 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/xiaomi-redmi-watch-2-lite-blue/characteristics";" Redmi Watch 2 Lite - полезный аксессуар при занятиях спортом. За красочным 1,55"" сенсорным дисплеем скрывается многофункциональное устройство, возможности которого удовлетворят большинства людей. Часы имеют более 100 режимов тренировок, поэтому каждый найдет то, что ему нужно. Благодаря водонепроницаемости 5 атм Redmi Watch 2 Lite можно не снимать в душе или бассейне. (Но не допускайте прямого попадания струи воды на смарт-часы и снимайте их во время похода в сауну) Для отслеживания физических показателей здоровья имеются датчик уровня кислорода в крови и датчик отслеживания сердечных сокращений. Также незаменимым решением является поддержка четырех основных глобальных систем позиционирования: GPS, ГЛОНАСС, Galileo и BDS. Смарт-часы могут работать до 10 дней на одном заряде. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38399";"6 999 руб.";"349 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/xiaomi-redmi-watch-2-lite-blue"
"Гаджеты";"Смарт-часы Xiaomi Redmi Watch 2 Lite Beige";"https://xn----8sb1bezcm.xn--p1ai///brand/xiaomi";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/f2/bd/f75be88e-ff83-4b0d-8c3b-aa31b935b33b.jpg";" • Встроенный GPS/ГЛОНАСС • Погружение на глубину до 50 м • До 10 дней автономной работы";"";"-";"-";"-";" Сенсорный TFT/1.55""/320x360 • Пыле/влагозащита 5ATM • Bluetooth 5.0 • GPS+ГЛОНАСС • 262 мАч/до 120 ч • 35.3x41.2x10.7 мм • 35 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/xiaomi-redmi-watch-2-lite-beige/characteristics";" Redmi Watch 2 Lite - полезный аксессуар при занятиях спортом. За красочным 1,55"" сенсорным дисплеем скрывается многофункциональное устройство, возможности которого удовлетворят большинства людей. Часы имеют более 100 режимов тренировок, поэтому каждый найдет то, что ему нужно. Благодаря водонепроницаемости 5 атм Redmi Watch 2 Lite можно не снимать в душе или бассейне. (Но не допускайте прямого попадания струи воды на смарт-часы и снимайте их во время похода в сауну) Для отслеживания физических показателей здоровья имеются датчик уровня кислорода в крови и датчик отслеживания сердечных сокращений. Также незаменимым решением является поддержка четырех основных глобальных систем позиционирования: GPS, ГЛОНАСС, Galileo и BDS. Смарт-часы могут работать до 10 дней на одном заряде. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38398";"6 999 руб.";"349 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/xiaomi-redmi-watch-2-lite-beige"
"Гаджеты";"Смарт-часы Geozon Leader Pink";"https://xn----8sb1bezcm.xn--p1ai///brand/geozon";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/b0/ad/467f929c-4ae5-44de-be83-6db1b3960851.jpg";" • До 15 дней автономной работы • Защита от влаги и пыли IP67 • Работа с Android и iOS";"";"-";"-";"-";" Сенсорный TFT/1.69"" • Пыле/влагозащита IP67 • Bluetooth 5.0 • 220 мАч • 44x37x9.5 мм • 39 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/geozon-leader-pink/characteristics";" Geozon Leader - отличный выбор для активного образа жизни. Целый ряд полезных функций для отслеживания физического состояния. Спортивный трекер, мониторинг пульса, артериального давления , измерение кислорода в крови и функция управления плеером на телефоне — всё, что нужно для утренней пробежки или тренировки в спортивном зале. Leader защищены от воды и пыли по классу IP67 — в них можно принимать душ, а время работы — до 15 дней. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38651";"3 499 руб.";"174 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/geozon-leader-pink"
"Гаджеты";"Смарт-часы Geozon Leader Black";"https://xn----8sb1bezcm.xn--p1ai///brand/geozon";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/d8/5a/ef8599b6-fee2-4712-9459-8680fb372896.jpg";" • До 15 дней автономной работы • Защита от влаги и пыли IP67 • Работа с Android и iOS";"";"-";"-";"-";" Сенсорный TFT/1.69"" • Пыле/влагозащита IP67 • Bluetooth 5.0 • 220 мАч • 44x37x9.5 мм • 39 г ";"https://xn----8sb1bezcm.xn--p1ai//catalog/geozon-leader-black/characteristics";" Geozon Leader - отличный выбор для активного образа жизни. Целый ряд полезных функций для отслеживания физического состояния. Спортивный трекер, мониторинг пульса, артериального давления , измерение кислорода в крови и функция управления плеером на телефоне — всё, что нужно для утренней пробежки или тренировки в спортивном зале. Leader защищены от воды и пыли по классу IP67 — в них можно принимать душ, а время работы — до 15 дней. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"38650";"3 499 руб.";"174 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/geozon-leader-black"
