"Категория";"Название";"Все товары от бренда";"Фото";"Преимущество";"ОС";"Частота и количество ядер процессора";"RAM";"Память";"Остальные характеристики";"Все характеристики";"Описание";"Код товара";"Цена";"Баллы за покупку";"Ссылка на товар"
"Ноутбуки";"Ноутбук Asus Laptop 14 X415JF-EK081T 90NB0SV3-M01120 Blue";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/6f/3e/2a3426ed-a88e-4850-88ec-e7426a882689.jpg";" • Двухъядерный процессор • Дисплей с разрешением Full HD • SSD-накопитель 256 Гб";" Windows 10 Home ";"-";"8 Гб";" SSD 256 Гб ";" 14""(1920x1080) • Intel Pentium 6805 1.1 ГГц (5/10) • Без CD/DVD-привода • NVIDIA GeForce MX130 2 Гб (6/10) • Wi-Fi, Bluetooth • 1.6 кг ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-laptop-14-x415jf-ek081t-90nb0sv3-m01120-blue/characteristics";" Asus Laptop X415JF-EK081T - универсальный ноутбук начального уровня, объединяющий в себе стильный дизайн и современные технологии. Ноутбук оснащен тонкорамочным дисплеем NanoEdge с антибликовым покрытием и широкими углами обзора. Ноутбук выполнен в компактном корпусе весом всего 1,5 кг, что делает данную модель идеальным выбором для мобильных пользователей. Для быстрого обмена данными с периферийными устройствами ASUS Laptop 14 X415 предлагает высокоскоростной интерфейс USB 3.2, выполненный в виде удобного обратимого разъема Type-C. Также имеются разъем USB 3.2 Type-A, порты USB 2.0 и видеовыход HDMI, который служит для подключения внешних мониторов или проекторов. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40574";"47 990 руб.";"479 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-laptop-14-x415jf-ek081t-90nb0sv3-m01120-blue"
"Ноутбуки";"Ноутбук Asus Laptop 15 X509MA-BR330T 90NB0Q32-M11190 Grey";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/12/21/3c7bb926-1589-4064-b98e-197e844c7040.jpg";" • Четырехъядерный процессор • SSD-накопитель 256 Гб • HDMI-разъём для ТВ";" Windows 10 Home ";"-";"4 Гб";" SSD 256 Гб ";" 15.6""(1366x768) • Intel Pentium N5030 1.1 ГГц (5/10) • Без CD/DVD-привода • Intel UHD Graphics 605 (5/10) • Wi-Fi, Bluetooth • 1.9 кг ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-laptop-15-x509ma-br330t-90nb0q32-m11190-grey/characteristics";" Asus X509MA – универсальный ноутбук, объединяющий в себе стильный дизайн и современные технологии, отлично подойдёт для домашнего использования. Он обладает четырехъядерным процессором и 4 Гб оперативной памяти, а этого вполне достаточно для игр и развлечений. 15,6-дюймовый дисплей поразит вас яркостью красок. Для быстрого обмена данными с периферийными устройствами предлагается высокоскоростной интерфейс USB 3.1 Type-C. Его пропускная способность в 10 раз превышает возможности USB 2.0. Также имеются порты USB 2.0, 3.0 и видеовыход HDMI, который служит для подключения внешних мониторов или проекторов. Встроенный SSD-накопитель 256 Гб обеспечит высокую скорость записи и передачи данных и быструю загрузку. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40573";"39 990 руб.";"399 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-laptop-15-x509ma-br330t-90nb0q32-m11190-grey"
"Ноутбуки";"Ноутбук Asus Zenbook 13 UX325EA-KG270T 90NB0SL1-M06450";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/cc/d4/2a07ce8f-14ef-4d3e-8337-82153c0582d3.jpg";" • 13.3"" OLED-дисплей Full HD • Intel Core i3 11-го поколения • До 15 ч. автономной работы";" Windows 10 Home ";"-";"8 Гб";" SSD 256 Гб ";" 13.3""(1920x1080) • Intel Core i3 1115G4 3 ГГц (6/10) • Без CD/DVD-привода • Intel UHD Graphics Xe G4 48EUs (5/10) • Wi-Fi, Bluetooth • 1.14 кг • до 15 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-zenbook-13-ux325ea-kg270t-90nb0sl1-m06450/characteristics";" Asus UX325EA-KG270T – удивительно лёгкий и компактный 13-дюймовый ультрабук. Он оснащён ярким безрамочным OLED-дисплеем с разрешением Full HD и с широкими углами обзора в 178 градусов, который поразит вас яркими, сочными цветами. Процессор Intel Core i3 11-го поколения обеспечивает высокую производительность ноутбука. Благодаря поддержке стандарта Wi-Fi 802.11ax вы сможете играть в самые современные онлайн-игры. Встроенный SSD-накопитель 256 Гб обеспечит высокую скорость записи и передачи данных и быструю загрузку ОС Windows. Пользоваться ноутбуком исключительно удобно: при открытии крышки экранный шарнир ErgoLift приподнимает клавиатуру под комфортным для набора текста углом. Ёмкая батарея обеспечит до 15 ч. автономной работы. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40572";"79 990 руб.";"799 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-zenbook-13-ux325ea-kg270t-90nb0sl1-m06450"
"Ноутбуки";"Ноутбук Honor Hunter V700 FRD-WFD9 53011LXQ";"https://xn----8sb1bezcm.xn--p1ai///brand/honor";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/d4/a3/c8ac1d8a-1341-4de0-903e-343371859bc4.jpg";" • Шестиядерный Core i7 • Дисплей с разрешением Full HD • SSD-накопитель 512 Гб";" Windows 10 Home ";"-";"16 Гб";" SSD 512 Гб ";" 16.1""(1920x1080) • Intel Core i7 10750H 2.6 ГГц (8/10) • Без CD/DVD-привода • NVIDIA GeForce RTX 2060 60 Гб (8/10) • Wi-Fi, Bluetooth • 2.45 кг ";"https://xn----8sb1bezcm.xn--p1ai//catalog/honor-hunter-v700-frd-wfd9-53011lxq/characteristics";" Ноутбук Honor Hunter V700 обладает мощным 6-ядерным процессором Core i7 10-го поколения и производительной видеокартой NVIDIA GeForce GTX, поэтому вы сможете играть в современные игры. Клавиатура оснащена эксклюзивной клавишей HUNTER, которая позволяет легко и быстро переключаться между тремя режимами работы. Яркая цветовая подсветка клавиш поможет вам всецело погрузиться в игровую атмосферу. IPS-экран 16,1 дюйма с высокой частотой обновления 144 Гц обеспечивает превосходный игровой опыт и четкую картинку в динамических сценах, снижая задержки и уровень размытия. Система охлаждения оснащена функцией самоочистки, при активации которой частички пыли выдуваются через специальные каналы для отвода пыли. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"42921";"99 990 руб.";"999 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/honor-hunter-v700-frd-wfd9-53011lxq"
"Ноутбуки";"Ноутбук Honor Hunter V700 FRD-WFG9 53011LNN";"https://xn----8sb1bezcm.xn--p1ai///brand/honor";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/f3/d3/63cbba6e-821a-44d5-9f84-9a63e3264a64.jpg";" • Четырехъядерный Core i5 • Дисплей с разрешением Full HD • SSD-накопитель 512 Гб";" Windows 10 Home ";"-";"16 Гб";" SSD 512 Гб ";" 16.1""(1920x1080) • Intel Core i5 10300H 2.5 ГГц (7/10) • Без CD/DVD-привода • NVIDIA GeForce GTX 1660 Ti 60 Гб (8/10) • Wi-Fi, Bluetooth • 2.45 кг ";"https://xn----8sb1bezcm.xn--p1ai//catalog/honor-hunter-v700-frd-wfg9-53011lnn/characteristics";" Ноутбук Honor Hunter V700 обладает мощным 4-ядерным процессором Core i5 10-го поколения и производительной видеокартой NVIDIA GeForce GTX, поэтому вы сможете играть в современные игры. Клавиатура оснащена эксклюзивной клавишей HUNTER, которая позволяет легко и быстро переключаться между тремя режимами работы. Яркая цветовая подсветка клавиш поможет вам всецело погрузиться в игровую атмосферу. IPS-экран 16,1 дюйма с высокой частотой обновления 144 Гц обеспечивает превосходный игровой опыт и четкую картинку в динамических сценах, снижая задержки и уровень размытия. Система охлаждения оснащена функцией самоочистки, при активации которой частички пыли выдуваются через специальные каналы для отвода пыли. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"42920";"79 990 руб.";"799 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/honor-hunter-v700-frd-wfg9-53011lnn"
"Ноутбуки";"Ноутбук Asus Laptop 14 X415JF-EK083T 90NB0SV2-M01140 Slate Grey";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/af/66/cb823371-5642-4621-bb84-9702372a1f7e.jpg";" • Двухъядерный процессор • Дисплей с разрешением Full HD • SSD-накопитель 256 Гб";" Windows 10 Home ";"-";"8 Гб";" SSD 256 Гб ";" 14""(1920x1080) • Intel Pentium 6805 1.1 ГГц (5/10) • Без CD/DVD-привода • NVIDIA GeForce MX130 2 Гб (6/10) • Wi-Fi, Bluetooth • 1.6 кг ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-laptop-14-x415jf-ek083t-90nb0sv2-m01140-slate-grey/characteristics";" Asus Laptop 14 X415JF-EK083T - универсальный ноутбук начального уровня, объединяющий в себе стильный дизайн и современные технологии. Ноутбук оснащен тонкорамочным дисплеем NanoEdge с антибликовым покрытием и широкими углами обзора. Ноутбук выполнен в компактном корпусе весом всего 1,5 кг, что делает данную модель идеальным выбором для мобильных пользователей. Для быстрого обмена данными с периферийными устройствами ASUS Laptop 14 X415 предлагает высокоскоростной интерфейс USB 3.2, выполненный в виде удобного обратимого разъема Type-C. Также имеются разъем USB 3.2 Type-A, порты USB 2.0 и видеовыход HDMI, который служит для подключения внешних мониторов или проекторов. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40571";"49 990 руб.";"499 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-laptop-14-x415jf-ek083t-90nb0sv2-m01140-slate-grey"
"Ноутбуки";"Ноутбук Asus TUF Gaming F17 FX706HE-HX026T 90NR0713-M01120 Eclipse Grey";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/c3/d4/8d9affb4-710f-4872-85c3-a20927ed256c.jpg";" • Шестиядерный процессор • Дисплей с разрешением Full HD • SSD-накопитель 512 Гб";" Windows 10 Home ";"-";"8 Гб";" SSD 512 Гб ";" 17.3""(1920x1080) • Intel Core i5 11400H 2.7 ГГц (8/10) • Без CD/DVD-привода • NVIDIA GeForce RTX 3050 Ti 4 Гб (8/10) • Wi-Fi, Bluetooth • 2.6 кг ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-tuf-gaming-f17-fx706he-hx026t-90nr0713-m01120-eclipse-grey/characteristics";" Всем тем, кто хочет получить ноутбук с большим экраном, подойдет модель ASUS TUF Gaming F17, диагональ экрана которого равна 17.3 дюйма. Его разрешение - 1920х1080 Пк, что обеспечивает достаточно четкую картинку. За производительность отвечает процессор Intel Core i5 11400H на 6 ядер и частотой 2.7 ГГц. Производители установили в ноутбук ASUS TUF Gaming оперативную память стандарта DDR4 объемом 8 Гб и дискретный видеоадаптер NVIDIA GeForce RTX 3050 Ti с собственной памятью 4 Гб. Хранение информации обеспечивается за счет твердотельного накопителя объемом 512 Гб. Ноутбук готов к работе, ведь здесь уже установлена операционная система Windows 10. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40570";"104 990 руб.";"1049 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-tuf-gaming-f17-fx706he-hx026t-90nr0713-m01120-eclipse-grey"
"Ноутбуки";"Ноутбук Asus Laptop 15 X515JF-BR199T 90NB0SW2-M03600 Transparent Silver";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/26/8e/6c342d37-206a-424a-ba73-26eb894dfd91.jpg";" • Двухъядерный Intel Pentium • SSD-накопитель 256 Гб • HDMI-разъем для ТВ";" Windows 10 Home ";"-";"4 Гб";" SSD 256 Гб ";" 15.6""(1366x768) • Intel Pentium 6805 1.1 ГГц (4/10) • Без CD/DVD-привода • NVIDIA GeForce MX130 2 Гб (5/10) • Wi-Fi, Bluetooth • 1.8 кг • до 6 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-laptop-15-x515jf-br199t-90nb0sw2-m03600-transparent-silver/characteristics";" Asus Laptop 15 X515 – универсальный ноутбук начального уровня, объединяющий в себе стильный дизайн и современные технологии. Ноутбук выполнен в компактном корпусе весом всего 1,8 кг, что делает данную модель идеальным выбором для мобильных пользователей. Он оснащен двухядерным процессором Intel Pentium и 4 Гб оперативной памяти, которых вполне достаточно для просмотра фильмов, работы с текстовыми документами и таблицами. Встроенный SSD-накопитель 256 Гб обеспечит высокую скорость записи и передачи данных и быструю загрузку ОС Windows. Для быстрого обмена данными с периферийными устройствами служит высокоскоростной интерфейс USB Type-C 3.2. Также имеются видеовыход HDMI, который служит для подключения внешних мониторов или проекторов. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40569";"44 990 руб.";"449 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-laptop-15-x515jf-br199t-90nb0sw2-m03600-transparent-silver"
"Ноутбуки";"Ноутбук Asus Laptop 15 X515JF-BR192T 90NB0SW1-M03590 Slate Grey";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/cd/42/30c015d3-05aa-4f05-8e89-f150d2fc5a46.jpg";" • Двухъядерный Intel Pentium • SSD-накопитель 128 Гб • HDMI-разъем для ТВ";" Windows 10 Home ";"-";"4 Гб";" SSD 128 Гб ";" 15.6""(1366x768) • Intel Pentium 6805 1.1 ГГц (4/10) • Без CD/DVD-привода • NVIDIA GeForce MX130 2 Гб (5/10) • Wi-Fi, Bluetooth • 1.8 кг • до 6 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-laptop-15-x515jf-br192t-90nb0sw1-m03590-slate-grey/characteristics";" Asus Laptop 15 X515 – универсальный ноутбук начального уровня, объединяющий в себе стильный дизайн и современные технологии. Ноутбук выполнен в компактном корпусе весом всего 1,8 кг, что делает данную модель идеальным выбором для мобильных пользователей. Он оснащен двухядерным процессором Intel Pentium и 4 Гб оперативной памяти, которых вполне достаточно для просмотра фильмов, работы с текстовыми документами и таблицами. Встроенный SSD-накопитель 128 Гб обеспечит высокую скорость записи и передачи данных и быструю загрузку ОС Windows. Для быстрого обмена данными с периферийными устройствами служит высокоскоростной интерфейс USB Type-C 3.2. Также имеются видеовыход HDMI, который служит для подключения внешних мониторов или проекторов. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40568";"39 990 руб.";"399 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-laptop-15-x515jf-br192t-90nb0sw1-m03590-slate-grey"
"Ноутбуки";"Ноутбук Asus ZenBook 14 UX425EA 90NB0SM1-M08850 Pine Grey";"https://xn----8sb1bezcm.xn--p1ai///brand/asus";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/26/a8/8963b4d5-a40a-4802-9686-bef3719c1c8f.jpg";" • Intel Core i3 11-го поколения • Дисплей с разрешением Full HD • SSD-накопитель 256 Гб";" Windows 10 Home ";"-";"8 Гб";" SSD 256 Гб ";" 14""(1920x1080) • Intel Core i3 1115G4 3 ГГц (6/10) • Без CD/DVD-привода • Intel Iris Xe Graphics G7 80EUs (5/10) • Wi-Fi, Bluetooth • 1.17 кг • до 15 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/asus-zenbook-14-ux425ea-90nb0sm1-m08850-pine-grey/characteristics";" Asus ZenBook 14 сочетает в себе мощность и компактность, делая их доступными в любом месте и в любое время. Толщина модели составляет 12 мм, а ее вес не превышает 1.2 кг – это позволяет комфортно брать ноутбук в дорогу, на работу или обучение. Двухъядерного процессора и 8 Гб оперативной памяти вполне достаточно для игр и развлечений. 14-дюймовый дисплей с разрешением Full HD поразит вас яркостью красок и чёткостью изображения. Встроенный SSD-накопитель 256 Гб обеспечит высокую скорость записи и передачи данных и быструю загрузку ОС Windows. Благодаря емкому аккумулятору время автономной работы достигает почти 15 часов. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"40567";"79 990 руб.";"799 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/asus-zenbook-14-ux425ea-90nb0sm1-m08850-pine-grey"
