"Категория";"Название";"Все товары от бренда";"Фото";"Преимущество";"ОС";"Частота и количество ядер процессора";"RAM";"Память";"Остальные характеристики";"Все характеристики";"Описание";"Код товара";"Цена";"Баллы за покупку";"Ссылка на товар"
"Планшеты";"Планшет Samsung SM-P610N Galaxy TAB S6 Lite 10.4 Wi-Fi 64Gb Pink";"https://xn----8sb1bezcm.xn--p1ai///brand/samsung";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/57/81/4a6c7297-6837-4369-97da-d994d75d0321.jpg";" • Разрешение дисплея 2000x1200 • Восьмиядерный процессор • Стилус S Pen в комплекте";" Android 10.0 ";" 2.3 ГГц , (8 ядер) ";"4 Гб";" 64 Гб ";" 64 Гб • 8 Мп • microSD • Wi-Fi • Bluetooth 5.0 • GPS+ГЛОНАСС • 465 г • 7040 мАч/до 12 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/samsung-sm-p610n-galaxy-tab-s6-lite-10-4-wi-fi-64gb-pink/characteristics";" Планшет Galaxy Tab S6 Lite идеально подойдет для учебы, работы и развлечений. С помощью электронного пера S Pen вы сможете делать заметки, редактировать документы, делать конспекты лекций, создавать скетчи и рисовать. Большой дисплей 10.4 дюйма с разрешением 2000х1200 позволит наслаждаться каждым кадром при просмотре фильмов. Мощный 8-ядерный процессор обеспечит быструю загрузку и плавную работу при многозадачности и в играх. Благодаря поддержке карт памяти microSD до 1 Тб вы сможете хранить все любимые игры, приложения и медиафайлы. Заряда аккумулятора 7040 мАч хватит на 13 часов воспроизведения видео, 149 часов прослушивания музыки и до 12 часов работы в интернете. Тонкий и легкий корпус позволяет брать с собой планшет куда бы вы не направлялись. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"46633";"28 990 руб.";"289 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/samsung-sm-p610n-galaxy-tab-s6-lite-10-4-wi-fi-64gb-pink"
"Планшеты";"Планшет Huawei MatePad T10s LTE 2/32Gb Deepsea Blue";"https://xn----8sb1bezcm.xn--p1ai///brand/huawei";"-";" • IPS-дисплей Full HD • Функции телефона: звонки,SMS • Поддержка a-GPS + ГЛОНАСС";" Android 10.0 ";" 2 ГГц , (8 ядер) ";"2 Гб";" 32 Гб ";" 32 Гб • 5 Мп • microSD • 4G LTE • 3G • Wi-Fi • Bluetooth 5.0 • GPS+ГЛОНАСС • 450 г • 5100 мАч/до 300 ч/до 10 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/huawei-matepad-t10s-lte-2-32gb-deepsea-blue/characteristics";" Huawei MatePad T 10s оснащен экраном 10,1"" с разрешением Full HD и узкими рамками. Благодаря легкому и компактному корпусу планшета вы можете использовать ваши любимые приложения, играть в игры и смотреть видео, погружаясь в контент с головой, где угодно и когда угодно. Режим App Multiplier2 позволяет отображать одно приложение в двух окнах при горизонтальном положении планшета. Система с двумя симметрично расположенными динамиками создается эффект объемного звучания при воспроизведении аудиоконтента. Благодаря 8-ядерному процессору и передовым алгоритмам обработки данных планшет обеспечивает более высокое качество графики и улучшенную производительность. MatePad T 10s имеет слот microSIM-карты, обеспечивая мобильный 4G-интернет, звонки и даже отправку SMS. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"45878";"16 990 руб.";"169 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/huawei-matepad-t10s-lte-2-32gb-deepsea-blue"
"Планшеты";"Планшет Huawei MatePad 10.4 Wi-Fi 4/64Gb Midnight Grey";"https://xn----8sb1bezcm.xn--p1ai///brand/huawei";"-";" • Не установлены сервисы Google • 10.4"" IPS-дисплей 2000x1200 • Объемный 4-канальный звук";" Android 10.0 ";" 2.27 ГГц , (8 ядер) ";"4 Гб";" 64 Гб ";" 64 Гб • 8 Мп • microSD • Wi-Fi • Bluetooth 5.1 • GPS+ГЛОНАСС • 450 г • 7250 мАч/до 7 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/huawei-matepad-10-4-wi-fi-4-64gb-midnight-grey/characteristics";" ОБРАТИТЕ ВНИМАНИЕ! На планшете доступны только сервисы Huawei (HMS) с предустановленым магазином приложений AppGallery вместо отсутствующих сервисов Google (GMS) и магазина приложений Google Play. Планшет поддерживает стилус Huawei M-pencil, поэтому вы сможете делать на нём заметки и рисовать, как на обычной тетради. Мощный 8-ядерный процессор обеспечит высокую производительность. Многооконный режим позволит выполнять несколько задач одновременно. Планшет оснащен четырехканальной аудиосистемой с четырьмя динамиками. Ёмкая батарея обеспечит до 12 ч. автономной работы. Планшет поддерживает быструю зарядку. Также к планшету можно подключить клавиатуру и превратить его в полноценный ноутбук. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"45875";"21 990 руб.";"219 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/huawei-matepad-10-4-wi-fi-4-64gb-midnight-grey"
"Планшеты";"Планшет Digma Plane 1585S 4G 8Gb Black";"https://xn----8sb1bezcm.xn--p1ai///brand/digma";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/b5/fc/08b4f702-4b05-43da-8f80-5f75648fd82a.jpg";" • Функции телефона: звонки/SMS • Яркий IPS-дисплей • Встроенный GPS-навигатор";" Android 8.1 ";" 1.3 ГГц , (4 ядра) ";"1 Гб";" 8 Гб ";" 8 Гб • 2 Мп • microSD • 4G LTE • 3G • Wi-Fi • Bluetooth 4.0 • FM • GPS • 520 г • 5000 мАч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/digma-plane-1585s-4g-8gb-black/characteristics";" Планшет Digma Plane 1585S 4G обладает ярким и сочным 10-дюймовым IPS-дисплеем с разрешением Full HD, который отлично подойдёт для просмотра фильмов и игр. Благодаря поддержке двух SIM-карт вы сможете выбирать оптимальные тарифные планы мобильных операторов и совершать звонки, как с обычного мобильного телефона. Встроенный модуль 4G обеспечит высокую скорость интернета. Модуль GPS не даст вам заблудиться в незнакомой местности. Планшет поддерживает карты памяти до 128 Гб, что позволит вам сохранить множество медиафайлов. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"46230";"7 590 руб.";"75 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/digma-plane-1585s-4g-8gb-black"
"Планшеты";"Планшет Digma Optima Kids 7 16Gb Multicolor";"https://xn----8sb1bezcm.xn--p1ai///brand/digma";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/f1/b1/528456d1-41ad-4d2f-9c7f-20cc3ad7e8bd.jpg";" • Яркий IPS-дисплей • Родительский контроль • Поддержка microSD до 32 Гб";" Android 8.1 ";" 1.2 ГГц , (4 ядра) ";"1 Гб";" 16 Гб ";" 16 Гб • 2 Мп • microSD • Wi-Fi • Bluetooth 2.1 • 320 г • 2500 мАч/до 3 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/digma-optima-kids-7-16gb-multicolor/characteristics";" Планшет Optima Kids 7 создан специально для детей. Предустановленные детские приложения помогут вашему ребёнку узнать много нового и интересного, а функция родительского контроля ограничит время пользования устройством. Округлый противоударный корпус с усиленными углами надёжно защищает устройство со всех сторон от падений, сколов и прочих повреждений. На ярком семидюймовом IPS дисплее ребенок насладится всеми красками мультфильмов и детских развивающих игр, а встроенный Wi-Fi модуль позволит ребенку смотреть контент как в YouTube Kids, так и на других онлайн площадках. Для хранения информации можно использовать 16 ГБ внутренней памяти или использовать дополнительную карту памяти microSD до 32 Гб. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"46221";"4 990 руб.";"49 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/digma-optima-kids-7-16gb-multicolor"
"Планшеты";"Планшет BQ 1081G Grace Black";"https://xn----8sb1bezcm.xn--p1ai///brand/bq";"-";" • Работа с 2-мя SIM-картами • GPS-навигация • Функции телефона: звонки,SMS";" Android 8.1 ";"- ,  1.3 МГц (4 ядра) ";"1 Гб";" 16 Гб ";" 16 Гб • 2 Мп • microSD • 3G • Wi-Fi • Bluetooth 4.2 • GPS • 540 г • 4000 мАч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/bq-1081g-grace-black/characteristics";" BQ 1081G поддерживает две SIM-карты, что позволяет комбинировать оптимальные тарифные планы мобильных операторов. Десятидюймовый дисплей отлично подойдёт для просмотра фильмов, видео и серфинга в интернете. За производительность планшета отвечает четырёхядерный процессор Unisoc SC7731E, а встроенную память 16 Гб возможно расширить с картой Micro SD, что позволит загружать приложения и работать с несколькими программами одновременно. Основная и фронтальная камеры позволят общаться по видеосвязи с близкими людьми или обмениваться фотографиями в социальных сетях. А ёмкого аккумулятора 4000 мАч хватит на продолжительное время. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"46460";"6 290 руб.";"62 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/bq-1081g-grace-black"
"Планшеты";"Планшет BQ 7098G Armor Power Cammo Sea";"https://xn----8sb1bezcm.xn--p1ai///brand/bq";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/94/51/7a7283d6-3e66-4699-9f6d-af39d72b736d.jpg";" • Функции телефона: звонки,SMS • Функция Power Bank • Ёмкий аккумулятор 6500 мАч";" Android 8.1 ";" 1.3 ГГц , (4 ядра) ";"1 Гб";" 16 Гб ";" 16 Гб • 2 Мп • microSD • 3G • Wi-Fi • Bluetooth 4.2 • GPS • 350 г • 6500 мАч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/bq-7098g-armor-power-cammo-sea/characteristics";" Главная особенность BQ 7098G Armor Power-это мощный аккумулятор ёмкостью 6500 мАч, заряда которого хватит на долгое время. А благодаря функции Power Bank вы сможете заряжать от планшета другие устройства. 7-ми дюймовый дисплей с технологией IPS порадует вас качественным и реалистичным изображением с сочной цветопередачей. За производительность планшета отвечает четырёхядерный процессор Unisoc SC7731E, а встроенную память 16 Гб возможно расширить с картой Micro SD, что позволит загружать приложения и работать с несколькими программами одновременно. Основная и фронтальная камеры позволят общаться по видеосвязи с близкими людьми или обмениваться фотографиями в социальных сетях. Поддержка двух SIM-карт позволит выбрать оптимальные тарифные планы мобильных операторов. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"46458";"5 490 руб.";"54 балла";"https://xn----8sb1bezcm.xn--p1ai///catalog/bq-7098g-armor-power-cammo-sea"
"Планшеты";"Планшет Huawei MatePad Pro Wi-Fi 6/128Gb Midnight Grey";"https://xn----8sb1bezcm.xn--p1ai///brand/huawei";"-";" • Не установлены сервисы Google • 10.8"" IPS-дисплей 2560x1600 • Беспроводная зарядка 15 Вт";" Android 10.0 ";" 2.86 ГГц , (8 ядер) ";"6 Гб";" 128 Гб ";" 128 Гб • 13 Мп • Wi-Fi • Bluetooth 5.1 • GPS+ГЛОНАСС • 460 г • 7250 мАч/до 12 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/huawei-matepad-pro-wi-fi-6-128gb-midnight-grey/characteristics";" ОБРАТИТЕ ВНИМАНИЕ! На планшете доступны только сервисы Huawei (HMS) с предустановленым магазином приложений AppGallery вместо отсутствующих сервисов Google (GMS) и магазина приложений Google Play. Планшет поддерживает стилус Huawei M-pencil, поэтому вы сможете делать на нём заметки и рисовать, как на обычной тетради. Мощный 8-ядерный процессор обеспечит высокую производительность. Многооконный режим позволит выполнять несколько задач одновременно. Ёмкая батарея обеспечит до 12 ч. автономной работы. Планшет поддерживает быструю и беспроводную зарядку, а также обратную беспроводную зарядку, позволяющую заряжать от него смартфоны, наушники и другие устройства. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"45871";"54 990 руб.";"549 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/huawei-matepad-pro-wi-fi-6-128gb-midnight-grey"
"Планшеты";"Планшет Huawei MatePad T 10 Wi-Fi 32Gb Deepsea Blue";"https://xn----8sb1bezcm.xn--p1ai///brand/huawei";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/a7/70/7e4da065-d48a-473d-b3f8-3ddc5625ab7d.jpg";" • Восьмиядерный процессор • Разрешение дисплея 1280x800 • Поддержка a-GPS + ГЛОНАСС";" Android 10.0 ";" 2 ГГц , (8 ядер) ";"2 Гб";" 32 Гб ";" 32 Гб • 5 Мп • microSD • Wi-Fi • Bluetooth 5.0 • GPS+ГЛОНАСС • 450 г • 5100 мАч/до 300 ч/до 10 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/huawei-matepad-t-10-wi-fi-32gb-deepsea-blue/characteristics";" Huawei MatePad T 10 оснащен HD-экраном 9,7 дюйма, который идеально вписывается в стильный дизайн. Благодаря легкому и компактному корпусу планшета вы можете использовать ваши любимые приложения, играть в игры и смотреть видео, погружаясь в контент с головой, где угодно и когда угодно. Система с двумя симметрично расположенными динамиками создается эффект объемного звучания при воспроизведении аудиоконтента. Благодаря 8-ядерному процессору и передовым алгоритмам обработки данных планшет обеспечивает более высокое качество графики и улучшенную производительность. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"45873";"14 990 руб.";"149 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/huawei-matepad-t-10-wi-fi-32gb-deepsea-blue"
"Планшеты";"Планшет Samsung SM-T505N Galaxy TAB A7 10.4 LTE 64Gb Silver";"https://xn----8sb1bezcm.xn--p1ai///brand/samsung";"https://xn----8sb1bezcm.xn--p1ai//resources/01/500/400/f8/18/0f900bc8-b74c-47a5-9275-046171edbb31.jpg";" • Восьмиядерный процессор • Металлический корпус • 4 динамика Dolby Atmos";" Android 10.0 ";" 2 ГГц , (8 ядер) ";"3 Гб";" 64 Гб ";" 64 Гб • 8 Мп • microSD • 4G LTE • 3G • Wi-Fi • Bluetooth 5.0 • GPS+ГЛОНАСС • 477 г • 7040 мАч/до 13 ч ";"https://xn----8sb1bezcm.xn--p1ai//catalog/samsung-sm-t505n-galaxy-tab-a7-10-4-lte-64gb-silver/characteristics";" Galaxy Tab A7 создан, чтобы удивлять. Невероятное по красоте устройство позволяет получить незабываемые эмоции от его использования. Элегантный планшет толщиной всего 7мм заключен в изысканный металлический корпус с симметричной рамкой вокруг экрана. Широкоугольный и динамичный 10.4"" экран и объемный звук с системой Dolby Atmos, создаваемый четырьмя динамиками - теперь все как в настоящем кинотеатре. Благодаря быстрому процессору и большой оперативной памяти, игры загружаются мгновенно, а динамические сцены обновляются плавно и четко. Заряда аккумулятора емкостью 7040 мАч хватит на целый день работы, но даже если он разрядится, то его всегда можно будет быстро восполнить до 100% благодаря поддержке быстрой зарядки 15 Вт. Остались вопросы? Звоните  8 495 514-12-12, мы подскажем! ";"46614";"29 990 руб.";"299 баллов";"https://xn----8sb1bezcm.xn--p1ai///catalog/samsung-sm-t505n-galaxy-tab-a7-10-4-lte-64gb-silver"
